
"Monday, 17 August 2026 [performance over the past 7 days]"
Rank,Artist,Title
1,"DMX","X Gon' Give It To Ya"
2,"Akhil Sachdeva","O Sanam"
3,"Tame Impala","Loser"
4,"harmeeet & Aditya Pushkarna","Jhoot"
5,"Anirudh Ravichander, Vedan & Heisenberg","Bum Baa Diga Diga (From "DC")"
6,"Banjaare & Roni","Barsaat"
7,"ARJN, KDS, FIFTY4 & Shreya Ghoshal","KALYANI (Remix)"
8,"Sai Abhyankkar & Rokesh","Alaakaa Loova (From "OM Chapter 1: Udhiram  - The Blood Wood") [Tamil]"
9,"Anirudh Ravichander & Heisenberg","Hangova (From "DC")"
10,"sma$her & MC DA$ILVA","BAILA LENTO (Slowed)"
11,"Fat Papi & prodshushy","FREAKED OUT"
12,"SABI & MIA BOYKA","Базовый минимум (Slow Version)"
13,"MC SQUARE, Radhika Bhide & Wicked Sunny","Long Way From Home"
14,"Anuv Jain","Arz Kiya Hai  Coke Studio Bharat"
15,"Sai Abhyankkar & Dhanush","The Wild Theme (From "OM Chapter 1: Udhiram - The Blood Wood")"
16,"Anirudh Ravichander","The Rose (Instrumental)"
17,"Farak, 10A & Saswat Balan","Taare"
18,"B. Praak","Tiranga (From "Yodha")"
19,"Steve Lacy","oh yeah?"
20,"Anirudh Ravichander","Raga of Revenge (From "DC")"
21,"Siri Xander & Arra Aria Khayal","Pesamale"
22,"HUGEL & SOLTO (FR)","Jamaican (Bam Bam)"
23,"Mithoon, Pritam, Mustafa Zahid, Sayeed Quadri, Saaj Bhatt & Subodhh Sharma","Tera Mera Rishta - New Version"
24,"Jyotica Tangri","Ishq De Fanniyar - Female"
25,"Jakes Bejoy, Sid Sriram, Mohammed Maqbool Mansoor & Muthu","Asalayavale (From "Khalifa")"
26,"NAJRAN KABEER","Pirisham"
27,"Nabeel Shaukat Ali","Alvida Alvida (From "Dar-E-Nijaat")"
28,"BIA","WE ON GO"
29,"El De Las R's","Beretta (De Los Cerros La Escuela)"
30,"Don Miguelo","Y Qué Fue?"
31,"Bayaan & Sherazam","Safar"
32,"Mustafa Zahid","Zaroorat"
33,"Aroob Khan","Gucci"
34,"Parvatish Pradeep, Sooraj Santhosh, Nila Raj & B.K.Harinarayanan","Koodappirannor (From "Vaazha 2")"
35,"KR$NA & Dhanda Nyoliwala","Boom Shaka"
36,"Anirudh Ravichander & Shivapriya","Thaalam Trip (Instrumental)"
37,"Farhan Saeed, Shreya Ghoshal & Kumaar","Thodi Der"
38,"Sai Abhyankkar, Gana Muthu & Vishnu Edavan","God Mode Begins"
39,"Francis Mercier & Mahmut Orhan","Sadete"
40,"ARJN, KDS, FIFTY4 & RONN","KALYANI"
41,"A.R. Rahman, Irshad Kamil & Deepali Sahay","Tere Paas Main - Female Version (From "Main Vaapas Aaunga")"
42,"SABI & MIA BOYKA","Базовый минимум"
43,"Baggh-E SMG, BIG KAY SMG & Farmaan SMG","EX-FILES"
44,"Sai Abhyankkar & Dholu bholu","Aane Wala Star"
45,"Pritam & Mustafa Zahid","Tera Mera Rishta"
46,"HUGEL, Imael Angel & Ultra Naté","Movin' To The Sun"
47,"tienanh109, HDN & MC K3","X-COOL! (Ultra Slowed)"
48,"Sai Abhyankkar, Chandra Bose, Ram Miriyala & Arun Kaundinya","Alaakaa Loova (From "OM Chapter 1: Udhiram  - The Blood Wood") [Telugu]"
49,"Rekha Bhardwaj, Raghav Kaushik & Amrita Saluja","Darmiyaan (From "Musafir Cafe")"
50,"Sachin-Jigar, Daler Mehndi, Divya Kumar, Badshah & Tanishka Sanghvi","Vande Mataram"
51,"BODIEV","Караван"
52,"Avenxir & SUNJI","MONTAGEM GUERREIRO (Slowed)"
53,"Naveen Punia","Jaat Gelya Yaari"
54,"Aneesh, Sarkar & Hruday","Udi Udi"
55,"RO-KI","Nuclear Bomb"
56,"Faheem Abdullah, saani & UNPLG'd","Ehsaas (Acoustic)"
57,"Ravyn Lenae","Love Me Not"
58,"Jasmine Sandlas & Mofusion","LAAVAN"
59,"Navaan Sandhu, Dhanda Nyoliwala, RXTRO & Sanya Dandona","Kath Lagda"
60,"LONOWN & riserayss","worry (Instrumental Slowed)"
61,"Cheema Y & Gur Sidhu","California Love"
62,"Asim Azhar, Noor, Khan & Madhurxo","Aarzu (with Asim Azhar)"
63,"Vishal Dadlani, Sheykhar Ravjiani, Vaibhav Gupta, Subhadeep Das Chowdhury, Dipan Mitra, Utkarsh Wankhede, Piyush Panwar, Obom Tangu, Kumaar & Vishal & Shekhar","Vande Mataram (The Fighter Anthem) [From- "Fighter"]"
64,"Sai Abhyankkar, Tippu, Mohit Chauhan & Vivek","Nallaru Po (From "Dude")"
