
"Saturday, 29 August 2026 [performance over the past 7 days]"
Rank,Artist,Title
1,"Lil Naay","PERRA"
2,"KAROL G, Judeline & rusowsky","BbY WOW"
3,"Tame Impala","Loser"
4,"HUGEL, Imael Angel & Ultra Naté","Movin' To The Sun"
5,"Elderbrook & Bob Moses","Inner Light"
6,"Dave & Tems","Raindance"
7,"Olivia Dean","So Easy (To Fall In Love)"
8,"Fenix Flexin & Purps On The Beat","RUBBERZ"
9,"Bruno Mars","Risk It All"
10,"Stacy Kidd",""I Love U""
11,"Omega, Chimbala & B one El Productor De Oro","Se Me Nota (Agarrame)"
12,"BabyChiefDoit","Ghetto Love Story"
13,"Steve Lacy","oh yeah?"
14,"Ella Langley","Choosin' Texas"
15,"dolly babe","Pink Blush"
16,"Lil Baby","Dead Fresh"
17,"Victony","SLICK"
18,"HUGEL & SOLTO (FR)","Jamaican (Bam Bam)"
19,"Ariana Grande","hate that i made you love me"
20,"Teddy Swims","Mr. Know It All"
21,"Noodah05","Around Me"
22,"Kyla & Crazy Cousinz","Do You Mind (Crazy Cousinz Remix) [Mixed]"
23,"Tame Impala","Dracula (with JENNIE)"
24,"Tems","What You Need"
25,"Zara Larsson","Midnight Sun"
26,"Dom Dolla","Dreamin (feat. Daya)"
27,"Olivia Dean","Man I Need"
28,"Shakira & Burna Boy","Dai Dai"
29,"Belly Gang Kushington & 21 Savage","WTF GOIN"
30,"Drake","Janice STFU"
31,"PARTYNEXTDOOR","Some of Your Love"
32,"Sister Nancy","Bam Bam"
33,"Eladio Carrión","Polaroid"
34,"Olivia Rodrigo","stupid song"
35,"King Von & Prince Dre","Back Again (feat. Lil Durk)"
36,"Natasha Bedingfield","Unwritten"
37,"Jim Jones","New York (feat. Fabolous)"
38,"Temper City","Self Aware"
39,"El General","Rica y Apretadita"
40,"Yung Miami","Spend Dat"
41,"Prospa & Cloonee","Free Your Mind"
42,"Kanye West & Lauryn Hill","I CAN’T WAIT"
43,"Trippie Redd & PARTYNEXTDOOR","Say What"
44,"Bruno Mars","I Just Might"
45,"Romeo Santos & Prince Royce","Ay! San Miguel"
46,"Lil Uzi Vert","What You Saying"
47,"RAYE","WHERE IS MY HUSBAND!"
48,"DJ Goja, Jason Derulo & Melody","Mi Chico (Jason Derulo x Melody Version Slowed Down)"
49,"French Montana & Max B","Ever Since U Left Me (I Went Deaf)"
50,"El Rubio Acordeón","Siento Que Te Quiero"
