
"Friday, 25 September 2026 [performance over the past 7 days]"
Rank,Artist,Title
1,"KAROL G, Judeline & rusowsky","BbY WOW"
2,"Bronski Beat","Smalltown Boy"
3,"Lambrini Girls","Cuntology 101"
4,"Quavo & Takeoff","HOTEL LOBBY (Unc & Phew) [A COLORS SHOW]"
5,"Mondo Cozmo","Sweet Forever"
6,"ADÉLA","Nicole Kidman"
7,"STELLA LEFTY","Boston"
8,"Belly Gang Kushington & 21 Savage","WTF GOIN"
9,"Ella Langley","Choosin' Texas"
10,"Prince & The Revolution","Purple Rain"
11,"Imael Angel","Bad Times (Extended Version)"
12,"Wxoda","Vibin"
13,"Lil Baby","Dead Fresh"
14,"Tame Impala","Loser"
15,"Imael Angel","BAD TIMES"
16,"Jhené Aiko","So Good (feat. Kendrick Lamar)"
17,"Dan Auerbach","Heartbroken, In Disrepair"
18,"holottacheese","BFF4L (feat. holottamula)"
19,"LATIN MAFIA & Fred again..","Te Estoy Correteando"
20,"Dolly Babe","Pink Blush"
21,"comehelpglo","onsra"
22,"Ariana Grande","hate that i made you love me"
23,"Olivia Dean","So Easy (To Fall In Love)"
24,"Earth, Wind & Fire","September"
25,"Olivia Rodrigo","stupid song"
26,"BabyChiefDoit","Ghetto Love Story"
27,"HUGEL, Imael Angel & Ultra Naté","Movin' To The Sun"
28,"Zeddy Will","Bow Bow Bow"
29,"Dave & Tems","Raindance"
30,"Kate Bush","Hounds of Love"
31,"Fontaines D.C.","Starburster"
32,"Morgan Wallen","Last Thing You Need (from GTAVI: The Album)"
33,"Olivia Dean","Man I Need"
34,"Temper City","Self Aware"
35,"The Weeknd","Wicked Games"
36,"Beyoncé","MORNING DEW (DONK)"
37,"Bruno Mars","Risk It All"
38,"sombr","My Body Isn't Ready"
39,"Teddy Swims","Mr. Know It All"
40,"Noodah05","Around Me"
41,"Dexter and The Moonrocks","Freakin’ Out"
42,"P!nk","Just Give Me a Reason (feat. Nate Ruess)"
43,"Dominic Fike","Babydoll"
44,"Tems","What You Need"
45,"The Killers","Mr. Brightside"
46,"Jefferson Airplane","Today"
47,"Zara Larsson","Midnight Sun"
48,"Morgan Wallen","Been By Now"
49,"Steve Lacy","oh yeah?"
50,"Fenix Flexin & Purps On The Beat","RUBBERZ"
51,"Cardi B","AH HA"
52,"Tame Impala","Dracula (with JENNIE)"
53,"The New Basement Tapes","When I Get My Hands On You"
54,"Taylor Swift","I Knew It, I Knew You (From "Toy Story 5")"
55,"Falling In Reverse, Corey Taylor & Serj Tankian","Joseph"
56,"Dua Lipa","Training Season (Live from the Royal Albert Hall)"
57,"EMF Reader, dollvirus, Porcelain & :Х","Meet Me in The Pale Moonlight"
58,"Olivia Rodrigo","drop dead"
59,"The Goo Goo Dolls","Iris"
60,"Drake","Janice STFU"
61,"Cinco Suave","Sey Mami"
62,"Mac Miller","Cinderella (feat. Ty Dolla $ign)"
63,"sombr","back to friends"
64,"GENER8ION & Yung Lean","STORM II"
65,"UnityTX","HEINOUS"
66,"Lil Naay","PERRA"
67,"LOS DOS DE TAMAULIPAS","Sin Ti"
68,"Chris Norman & Suzi Quatro","Stumblin' In"
69,"Luke Combs","Be By You"
70,"Olivia Dean","A Couple Minutes"
71,"Natalie Merchant","Carnival"
72,"Tame Impala","Dracula"
73,"Nirvana","Smells Like Teen Spirit"
74,"Shakira & Burna Boy","Dai Dai"
75,"Journey","Don't Stop Believin'"
76,"Bruno Mars","I Just Might"
77,"ASN JAYBOOG","Stanley Earl"
78,"Alyssa Grace","bloodstream"
79,"USHER","Yeah! (feat. Lil Jon & Ludacris)"
