
"Saturday, 26 September 2026 [performance over the past 7 days]"
Rank,Artist,Title
1,"HUGEL, Imael Angel & Ultra Naté","Movin' To The Sun"
2,"Imael Angel","Bad Times (Extended Version)"
3,"Imael Angel","BAD TIMES"
4,"Quavo & Takeoff","HOTEL LOBBY (Unc & Phew) [A COLORS SHOW]"
5,"KAROL G, Judeline & rusowsky","BbY WOW"
6,"Bronski Beat","Smalltown Boy"
7,"урал гайсин & снялцепи","ты в моих мыслях навсегда"
8,"HUGEL & SOLTO (FR)","Jamaican (Bam Bam)"
9,"Prince & The Revolution","Purple Rain"
10,"GENER8ION & Yung Lean","STORM II"
11,"Temper City","Self Aware"
12,"Wxoda","Vibin"
13,"Dua Lipa","Training Season (Live from the Royal Albert Hall)"
14,"Tame Impala","Loser"
15,"Kimo Sounds","Rise Slow"
16,"Lambrini Girls","Cuntology 101"
17,"ADÉLA","Nicole Kidman"
18,"DJ Goja, Jason Derulo & Melody","Mi Chico (Jason Derulo x Melody Version)"
19,"Ella Langley","Choosin' Texas"
20,"sombr","My Body Isn't Ready"
21,"Fontaines D.C.","Starburster"
22,"Empire Of The Sun","We Are The People"
23,"DJ Kongo","Miss Lolo"
24,"Teddy Swims","Mr. Know It All"
25,"LATIN MAFIA & Fred again..","Te Estoy Correteando"
26,"STELLA LEFTY","Boston"
27,"ANOTR & 54 Ultra","Talk To You (ft. 54 Ultra)"
28,"Ariana Grande","hate that i made you love me"
29,"SIENNA SPIRO","Great Expectation"
30,"Shakira & Burna Boy","Dai Dai"
31,"Dave & Tems","Raindance"
32,"Rema","Oh No"
33,"Stromae","Alors on danse (feat. Erik Hassle)"
34,"Vacra & La Rvfleuze","Fille à Papa"
35,"Kate Bush","Hounds of Love"
36,"P!nk","Just Give Me a Reason (feat. Nate Ruess)"
37,"Dolly Babe","Pink Blush"
38,"Ankara Echoes","Beni Al (Ta Ki Seni Görene Kadar) [Afro House Remix]"
39,"Miley Cyrus","Bass Persuades"
40,"Earth, Wind & Fire","September"
41,"Akcent","Stay with Me"
42,"Olivia Dean","So Easy (To Fall In Love)"
43,"Olivia Rodrigo","stupid song"
44,"Natalie Merchant","Carnival"
45,"KATSEYE","Animal"
46,"FOLA, Bella Shmurda & Zlatan","it's over"
